10.0,13.75,6.25,598.5,17.5,8.75,120004.875,2.5,120008.75,2.5,16
1587.25,918.875,938.75,971.25,996.375,289.375,1982.875,1099.0,962.625,1099.125,0
114.0,75.0,519.5,60.125,71.375,758.75,385.625,120.25,53.75,121.625,0
678.5,464.5,415.5,493.375,500.5,152.625,869.875,559.25,486.875,567.0,0
331.875,161.5,136.5,186.5,194.125,43.875,360.5,264.0,182.75,261.75,0
1937.625,1230.625,1241.75,1266.875,1280.5,259.125,688.5,531.875,1258.0,634.5,0
232.75,127.75,1445.625,807.625,70.125,393.0,134.0,152.625,51.25,132.875,0
827.25,547.375,2007.625,582.375,578.625,142.75,1694.75,3227.25,574.5,1877.75,0
311.75,181.375,777.25,192.75,216.5,42.625,710.875,714.75,192.875,671.0,0

6.0,8.0,6.0,6.0,6.0,8.0,0.0,6.0,0.0,6.0,
6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,
7.75,7.75,11.0,6.0,6.0,12.25,10.5,7.75,6.0,7.75,
6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,
6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,
6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,
7.5,7.75,12.0,10.5,6.0,10.0,7.75,7.5,6.0,8.5,
6.0,6.0,8.0,6.0,6.0,6.0,7.25,7.75,6.0,8.0,
6.0,6.0,7.75,6.0,6.0,6.0,8.0,8.0,6.0,8.0,
