120008.625,105.125,5.0,82.625,120007.75,120008.625,18.75,120013.875,17.5,120007.5,40
-9999.0,-9999.0,-9999.0,-9999.0,1423.25,-9999.0,-9999.0,-9999.0,1096.5,768.625,7
12604.5,10823.375,18909.875,33310.25,852.25,35058.875,30642.75,35523.625,3517.5,3218.375,4
4440.0,118875.875,13146.375,131276.0,509.625,112315.375,4338.625,4453.875,380.625,365.375,0
7927.5,24515.125,9245.625,56643.75,202.75,107618.375,8747.625,9188.25,108.875,102.625,2
-9999.0,-9999.0,-9999.0,-9999.0,1286.875,-9999.0,-9999.0,-9999.0,1083.75,1091.375,7
19430.5,20116.375,33763.5,39570.75,1871.125,16277.125,80130.375,21539.75,3756.625,1762.5,6
-9999.0,119868.375,19844.75,-9999.0,599.625,120857.625,5471.5,4000.625,464.5,463.125,2
104181.0,90442.75,59213.75,235958.0,242.75,205832.25,80418.125,43770.375,127.625,106.25,20

0.0,10.0,10.0,8.0,0.0,0.0,10.0,0.0,8.0,0.0,
0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,
14.25,13.0,14.5,15.5,12.5,11.0,12.25,12.25,13.5,13.5,
8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,6.0,6.0,
11.25,11.25,11.25,8.5,6.0,11.25,11.25,11.25,6.0,6.0,
0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,
14.25,15.5,10.75,16.0,13.5,7.25,10.0,10.75,12.75,14.25,
0.0,8.0,8.0,0.0,6.0,8.0,8.0,8.0,6.0,6.0,
4.5,9.0,8.75,5.75,6.0,6.75,8.25,8.25,6.0,6.0,
